[14:21:13] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[14:21:13] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[14:21:13] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[14:21:13] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[14:21:13] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[14:21:13] [main/INFO]: Reloading ResourceManager: Default
[14:21:14] [Worker-Main-9/INFO]: Loaded 7 recipes
[14:21:14] [Worker-Main-9/INFO]: Loaded 927 advancements
[14:21:17] [Server thread/INFO]: Starting minecraft server version 1.16.3
[14:21:17] [Server thread/INFO]: Loading properties
[14:21:17] [Server thread/INFO]: Default game type: SURVIVAL
[14:21:17] [Server thread/INFO]: Generating keypair
[14:21:17] [Server thread/INFO]: Starting Minecraft server on *:25565
[14:21:17] [Server thread/INFO]: Using default channel type
[14:21:19] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[14:21:19] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[14:21:19] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[14:21:19] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[14:21:19] [Server thread/INFO]: Preparing level "world"
[14:21:41] [Worker-Main-8/INFO]: Preparing spawn area: 9%
[14:21:41] [Worker-Main-8/INFO]: Preparing spawn area: 9%
[14:21:42] [Worker-Main-10/INFO]: Preparing spawn area: 9%
[14:21:42] [Worker-Main-10/INFO]: Preparing spawn area: 9%
[14:21:43] [Worker-Main-6/INFO]: Preparing spawn area: 9%
[14:21:43] [Worker-Main-6/INFO]: Preparing spawn area: 11%
[14:21:44] [Worker-Main-14/INFO]: Preparing spawn area: 11%
[14:21:44] [Worker-Main-14/INFO]: Preparing spawn area: 11%
[14:21:45] [Worker-Main-8/INFO]: Preparing spawn area: 11%
[14:21:45] [Worker-Main-7/INFO]: Preparing spawn area: 11%
[14:21:46] [Worker-Main-8/INFO]: Preparing spawn area: 11%
[14:21:46] [Worker-Main-10/INFO]: Preparing spawn area: 15%
[14:21:47] [Worker-Main-14/INFO]: Preparing spawn area: 15%
[14:21:47] [Worker-Main-6/INFO]: Preparing spawn area: 15%
[14:21:48] [Worker-Main-10/INFO]: Preparing spawn area: 15%
[14:21:48] [Worker-Main-14/INFO]: Preparing spawn area: 15%
[14:21:49] [Worker-Main-10/INFO]: Preparing spawn area: 18%
[14:21:49] [Worker-Main-6/INFO]: Preparing spawn area: 18%
[14:21:50] [Worker-Main-8/INFO]: Preparing spawn area: 18%
[14:21:50] [Worker-Main-6/INFO]: Preparing spawn area: 18%
[14:21:51] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[14:21:51] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[14:21:52] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[14:21:52] [Worker-Main-10/INFO]: Preparing spawn area: 18%
[14:21:53] [Worker-Main-6/INFO]: Preparing spawn area: 23%
[14:21:53] [Worker-Main-14/INFO]: Preparing spawn area: 23%
[14:21:54] [Worker-Main-7/INFO]: Preparing spawn area: 23%
[14:21:54] [Worker-Main-10/INFO]: Preparing spawn area: 23%
[14:21:55] [Worker-Main-14/INFO]: Preparing spawn area: 23%
[14:21:55] [Worker-Main-14/INFO]: Preparing spawn area: 25%
[14:21:56] [Worker-Main-8/INFO]: Preparing spawn area: 25%
[14:21:56] [Worker-Main-6/INFO]: Preparing spawn area: 25%
[14:21:57] [Worker-Main-10/INFO]: Preparing spawn area: 25%
[14:21:57] [Worker-Main-6/INFO]: Preparing spawn area: 25%
[14:21:58] [Worker-Main-6/INFO]: Preparing spawn area: 25%
[14:21:58] [Worker-Main-6/INFO]: Preparing spawn area: 25%
[14:21:59] [Worker-Main-8/INFO]: Preparing spawn area: 25%
[14:21:59] [Worker-Main-14/INFO]: Preparing spawn area: 25%
[14:22:00] [Worker-Main-6/INFO]: Preparing spawn area: 32%
[14:22:00] [Worker-Main-7/INFO]: Preparing spawn area: 32%
[14:22:01] [Worker-Main-6/INFO]: Preparing spawn area: 32%
[14:22:01] [Worker-Main-7/INFO]: Preparing spawn area: 32%
[14:22:02] [Worker-Main-8/INFO]: Preparing spawn area: 35%
[14:22:02] [Worker-Main-8/INFO]: Preparing spawn area: 35%
[14:22:03] [Worker-Main-7/INFO]: Preparing spawn area: 35%
[14:22:03] [Worker-Main-7/INFO]: Preparing spawn area: 35%
[14:22:04] [Worker-Main-8/INFO]: Preparing spawn area: 36%
[14:22:04] [Worker-Main-6/INFO]: Preparing spawn area: 37%
[14:22:05] [Worker-Main-6/INFO]: Preparing spawn area: 37%
[14:22:05] [Worker-Main-10/INFO]: Preparing spawn area: 37%
[14:22:06] [Worker-Main-6/INFO]: Preparing spawn area: 37%
[14:22:08] [Worker-Main-7/INFO]: Preparing spawn area: 37%
[14:22:08] [Worker-Main-14/INFO]: Preparing spawn area: 37%
[14:22:08] [Worker-Main-7/INFO]: Preparing spawn area: 37%
[14:22:08] [Worker-Main-14/INFO]: Preparing spawn area: 42%
[14:22:10] [Worker-Main-10/INFO]: Preparing spawn area: 43%
[14:22:10] [Worker-Main-14/INFO]: Preparing spawn area: 43%
[14:22:10] [Worker-Main-10/INFO]: Preparing spawn area: 43%
[14:22:10] [Worker-Main-14/INFO]: Preparing spawn area: 46%
[14:22:10] [Worker-Main-6/INFO]: Preparing spawn area: 46%
[14:22:11] [Worker-Main-7/INFO]: Preparing spawn area: 46%
[14:22:12] [Worker-Main-8/INFO]: Preparing spawn area: 47%
[14:22:12] [Worker-Main-8/INFO]: Preparing spawn area: 47%
[14:22:13] [Worker-Main-10/INFO]: Preparing spawn area: 49%
[14:22:13] [Worker-Main-8/INFO]: Preparing spawn area: 49%
[14:22:13] [Worker-Main-8/INFO]: Preparing spawn area: 50%
[14:22:14] [Worker-Main-8/INFO]: Preparing spawn area: 51%
[14:22:15] [Worker-Main-14/INFO]: Preparing spawn area: 51%
[14:22:15] [Worker-Main-14/INFO]: Preparing spawn area: 51%
[14:22:16] [Worker-Main-14/INFO]: Preparing spawn area: 54%
[14:22:16] [Worker-Main-6/INFO]: Preparing spawn area: 54%
[14:22:16] [Worker-Main-7/INFO]: Preparing spawn area: 55%
[14:22:17] [Worker-Main-14/INFO]: Preparing spawn area: 56%
[14:22:17] [Worker-Main-8/INFO]: Preparing spawn area: 58%
[14:22:18] [Worker-Main-6/INFO]: Preparing spawn area: 58%
[14:22:18] [Worker-Main-6/INFO]: Preparing spawn area: 59%
[14:22:19] [Worker-Main-14/INFO]: Preparing spawn area: 60%
[14:22:19] [Worker-Main-6/INFO]: Preparing spawn area: 61%
[14:22:20] [Worker-Main-14/INFO]: Preparing spawn area: 62%
[14:22:20] [Worker-Main-14/INFO]: Preparing spawn area: 64%
[14:22:21] [Worker-Main-10/INFO]: Preparing spawn area: 65%
[14:22:21] [Worker-Main-7/INFO]: Preparing spawn area: 66%
[14:22:22] [Worker-Main-8/INFO]: Preparing spawn area: 68%
[14:22:22] [Worker-Main-6/INFO]: Preparing spawn area: 69%
[14:22:23] [Worker-Main-7/INFO]: Preparing spawn area: 70%
[14:22:23] [Worker-Main-10/INFO]: Preparing spawn area: 71%
[14:22:24] [Worker-Main-6/INFO]: Preparing spawn area: 71%
[14:22:24] [Worker-Main-7/INFO]: Preparing spawn area: 72%
[14:22:25] [Worker-Main-8/INFO]: Preparing spawn area: 73%
[14:22:25] [Worker-Main-6/INFO]: Preparing spawn area: 74%
[14:22:26] [Worker-Main-14/INFO]: Preparing spawn area: 75%
[14:22:26] [Worker-Main-8/INFO]: Preparing spawn area: 77%
[14:22:27] [Worker-Main-6/INFO]: Preparing spawn area: 78%
[14:22:27] [Worker-Main-14/INFO]: Preparing spawn area: 79%
[14:22:28] [Worker-Main-14/INFO]: Preparing spawn area: 81%
[14:22:29] [Worker-Main-8/INFO]: Preparing spawn area: 82%
[14:22:29] [Worker-Main-7/INFO]: Preparing spawn area: 83%
[14:22:29] [Worker-Main-6/INFO]: Preparing spawn area: 84%
[14:22:30] [Worker-Main-8/INFO]: Preparing spawn area: 85%
[14:22:30] [Worker-Main-8/INFO]: Preparing spawn area: 86%
[14:22:31] [Worker-Main-7/INFO]: Preparing spawn area: 87%
[14:22:31] [Worker-Main-6/INFO]: Preparing spawn area: 88%
[14:22:32] [Worker-Main-10/INFO]: Preparing spawn area: 89%
[14:22:32] [Worker-Main-7/INFO]: Preparing spawn area: 90%
[14:22:35] [Worker-Main-7/INFO]: Preparing spawn area: 91%
[14:22:35] [Worker-Main-14/INFO]: Preparing spawn area: 91%
[14:22:35] [Worker-Main-7/INFO]: Preparing spawn area: 91%
[14:22:35] [Worker-Main-7/INFO]: Preparing spawn area: 91%
[14:22:35] [Worker-Main-7/INFO]: Preparing spawn area: 91%
[14:22:35] [Worker-Main-14/INFO]: Preparing spawn area: 99%
[14:22:35] [Server thread/INFO]: Time elapsed: 66256 ms
[14:22:35] [Server thread/INFO]: Done (76.587s)! For help, type "help"
[14:27:38] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2863ms or 57 ticks behind
[14:27:56] [Server thread/INFO]: AndresRRC[/25.10.61.146:54163] logged in with entity id 324 at (-120.5, 87.0, -245.5)
[14:27:56] [Server thread/INFO]: AndresRRC joined the game
[14:29:49] [Server thread/INFO]: AndresRRC has made the advancement [Stone Age]
[14:30:39] [Server thread/INFO]: AndresRRC has made the advancement [Getting an Upgrade]
[14:32:41] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2699ms or 53 ticks behind
[14:34:29] [Server thread/INFO]: AndresRRC has made the advancement [Sweet Dreams]
[14:37:46] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 5041ms or 100 ticks behind
[14:41:43] [Server thread/INFO]: AndresRRC has made the advancement [Acquire Hardware]
[14:41:59] [Server thread/INFO]: AndresRRC has made the advancement [Isn't It Iron Pick]
[14:42:40] [Server thread/INFO]: AndresRRC has made the advancement [Suit Up]
[14:42:49] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 3277ms or 65 ticks behind
[14:43:44] [Server thread/INFO]: AndresRRC has made the advancement [Not Today, Thank You]
[14:43:51] [Server thread/INFO]: AndresRRC has made the advancement [Monster Hunter]
[14:47:56] [Server thread/WARN]: AndresRRC moved too quickly! 9.588077440297724,2.0013359791121417,-3.1527302897970912
[14:47:56] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 6663ms or 133 ticks behind
[14:52:59] [Server thread/WARN]: AndresRRC moved too quickly! -1.3019857585534282,0.0625,-9.986164309305877
[14:52:59] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 3566ms or 71 ticks behind
[14:56:05] [Server thread/INFO]: jsduquema[/25.0.89.220:51532] logged in with entity id 6362 at (-109.5, 83.0, -260.5)
[14:56:05] [Server thread/INFO]: jsduquema joined the game
[14:57:29] [Server thread/INFO]: [AndresRRC: Set the time to 1000]
[14:58:05] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 5704ms or 114 ticks behind
[14:58:16] [Server thread/INFO]: AndresRRC has made the advancement [Ice Bucket Challenge]
[14:58:22] [Server thread/INFO]: <jsduquema> hola
[14:58:25] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=0, y=0, z=0} fx{x=-104, y=87, z=-263}
[14:58:30] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=0, y=0, z=0} fx{x=-106, y=85, z=-263}
[14:58:30] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=0, y=0, z=0} fx{x=-106, y=85, z=-262}
[14:58:30] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=0, y=0, z=0} fx{x=-106, y=84, z=-260}
[14:58:31] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=0, y=0, z=0} fx{x=-106, y=85, z=-260}
[14:58:53] [Server thread/INFO]: <AndresRRC> holi
[14:58:56] [Server thread/INFO]: <AndresRRC> o/
[14:59:00] [Server thread/INFO]: <jsduquema> como vas
[14:59:07] [Server thread/INFO]: <AndresRRC> bien mi amor y ru
[14:59:12] [Server thread/INFO]: <jsduquema> oye que paso con el server :c
[14:59:26] [Server thread/INFO]: <AndresRRC> me hakiaron o_O
[15:00:36] [Server thread/INFO]: <jsduquema> comoasi
[15:01:03] [Server thread/INFO]: jsduquema has made the advancement [Stone Age]
[15:01:11] [Server thread/INFO]: jsduquema has made the advancement [Getting an Upgrade]
[15:01:22] [Server thread/INFO]: <AndresRRC> pasito a pasito}
[15:02:27] [Server thread/INFO]: [AndresRRC: Teleported AndresRRC to jsduquema]
[15:02:38] [Server thread/INFO]: <jsduquema> osea lo que habia antes f?
[15:02:43] [Server thread/INFO]: <AndresRRC> no jeje
[15:02:55] [Server thread/INFO]: <AndresRRC> tenemos un backup tu tranqui
[15:03:04] [Server thread/INFO]: <jsduquema> no entiendo jaja
[15:03:08] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 3348ms or 66 ticks behind
[15:03:09] [Server thread/INFO]: <AndresRRC> muack
[15:04:39] [Server thread/INFO]: <jsduquema> ahora cual es la gracia? jaja o que
[15:04:48] [Server thread/INFO]: <AndresRRC> pvp
[15:05:08] [Server thread/INFO]: <AndresRRC> ready
[15:08:14] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 5758ms or 115 ticks behind
[15:08:29] [Server thread/INFO]: [AndresRRC: Teleported AndresRRC to jsduquema]
[15:10:05] [Server thread/INFO]: [AndresRRC: Set the time to 1000]
[15:10:28] [Server thread/INFO]: <AndresRRC> a donde vas?Wa}}
[15:10:29] [Server thread/INFO]: AndresRRC was blown up by Creeper
[15:10:45] [Server thread/INFO]: [AndresRRC: Teleported AndresRRC to jsduquema]
[15:10:47] [Server thread/INFO]: jsduquema has made the advancement [Ice Bucket Challenge]
[15:11:18] [Server thread/INFO]: <AndresRRC> grashas
[15:13:19] [Server thread/WARN]: jsduquema moved too quickly! -5.551160832680921,-7.0,4.6577066676157415
[15:13:19] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 5165ms or 103 ticks behind
[15:15:03] [Server thread/INFO]: jsduquema has made the advancement [Acquire Hardware]
[15:16:46] [Server thread/INFO]: AndresRRC lost connection: Disconnected
[15:16:46] [Server thread/INFO]: AndresRRC left the game
[15:18:25] [Server thread/WARN]: jsduquema moved too quickly! -7.7829238253482345,0.7607407249357578,6.379329357874803
[15:18:25] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 6173ms or 123 ticks behind
[15:20:25] [Server thread/INFO]: jsduquema has made the advancement [Sweet Dreams]
[15:23:29] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 3101ms or 62 ticks behind
[15:24:29] [Server thread/INFO]: jsduquema has made the advancement [Isn't It Iron Pick]
[15:25:14] [Server thread/INFO]: jsduquema has made the advancement [Not Today, Thank You]
[15:25:23] [Server thread/INFO]: jsduquema has made the advancement [Monster Hunter]
[15:28:32] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 3439ms or 68 ticks behind
[15:30:56] [Server thread/INFO]: jsduquema has made the advancement [Suit Up]
[15:32:52] [Server thread/INFO]: oruat[/25.10.61.146:54639] logged in with entity id 14778 at (-119.5, 82.0, -255.5)
[15:32:52] [Server thread/INFO]: oruat joined the game
[15:33:36] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 3711ms or 74 ticks behind
[15:34:28] [Server thread/INFO]: Stopping the server
[15:34:28] [Server thread/INFO]: Stopping server
[15:34:28] [Server thread/INFO]: Saving players
[15:34:28] [Server thread/INFO]: jsduquema lost connection: Internal Exception: java.lang.StackOverflowError
[15:34:28] [Server thread/INFO]: jsduquema left the game
[15:34:28] [Server thread/INFO]: Saving worlds
[15:34:28] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:overworld
[15:34:31] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[15:34:31] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_nether
[15:34:31] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[15:34:31] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_end
[15:34:31] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[15:34:31] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[15:34:32] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[15:34:32] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
